קׇדְשֵׁי,S00192,S00198
קָדָשִׁים,S00195,S00198
שֶׁשְּׁחָטָן,U00635,U00636
בַּדָּרוֹם,D01055
מוֹעֲלִין,M02125
שְׁחָטָן,U00635,U00636
בַּיּוֹם,J00195
וְחוּץ,H00428
רַבִּי,T00085,T00041,T00127
יְהוֹשֻׁעַ,J00135
כׇּל,K00668
שְׁעַת,U01634
הֶיתֵּר,J00748,E00955,E00495
לַכֹּהֲנִים,K00163
וְכׇל,K00668
אֵיזוֹ,A01197,A01195
וְשֶׁנִּטְמְאָה,I00529
וְשֶׁיָּצְאָה,J00515
וְשֶׁקִּיבְּלוּ,S00057
פְּסוּלִין,Q01240,Q01242,Q01241
דִּשְׁחִיטָתָן
מְעִילָה,P00771,M02111
יוֹחָנָן,J00180
דָרוֹם,D01055
לְקׇדְשֵׁי,S00198
שְׁחָטָהּ,H00613
דְּשָׁחֵט
וּמְרַצִּין
לְפִיגּוּלִין,Q00045
יְהוּדָה,J00166
שִׁמְעוֹן,M02084,U01517,M02083
בַּנִּיתָּנִין,N01385
שֶׁנְּתָנָן,V00742
דִּשְׁחָטָן
מְשַׁלְּמִין,U01348,U01352
לְהוֹן,E00650
בְּהוֹן,E00650
בְּדִילִין,D00854,D00806,D00807
מִנְּהוֹן
הַחַטָּאת,H00615,H00588
כְּשֶׁהִיא,E00179,E00331
שֶׁהוּא,E00179
חַטָּאת,H00579,H00613
וְהָתְנַן,V00742
חַטָּאוֹת,H00588,H00587
וּמָעוֹת,P00376
הַהוֹלְכוֹת,E00237
נֶהֱנִין
מִגּוֹ,C00263,C00674,M00127
אַבֵּית,A00107,A00049
הַבְּלִיעָה,B00873
וּמוֹעֲלִין,M02125
מֵחַטַּאת,H00613
הָעוֹף,P00316
כְּמַעֲשֵׂה,M02186
חַטַּאת,H00579,H00613
לְשֵׁם,U01405,U01408
פְּסוּלוֹ,Q01240
אֶלְעָזָר,A01930
עוֹלַת,P00254,P00250,P00251
בָּמַת,B00925,M03002
שֶׁהִכְנִיסָהּ,K00854
קְלָטוּהָ,S01307
מְחִיצוֹת,M00873
[עוֹלַת,P00254,P00250,P00251
שֶׁנִּפְסְלָה],Q01325
מִדְּקָמִיבַּעְיָא
מְחִיצָה,M00873
זְרִיקַת,G00712
בְּקׇדְשֵׁי,S00192,S00198
הַשּׁוֹחֵט,U00635,U00636
הַתּוֹדָה,V00158
לַחוֹמָה,H00373,H00369
בַּתַּנּוּר,V00733
קָדַשׁ,S00195,S00192,S00198
שֶׁהֶעֱלוֹ,P00790
וּקְמִיצָה,S01474
שְׁחִיטָה,H00613
מַחֲלוֹקֶת,M00895
בִּשְׁתֵּי,U02107
הֲרֵינִי,E00858,E00857
בַּעֲבוֹדָה,P00025,P00026
תוֹדָה,J00100,V00158
הַפִּיגּוּל,Q00045
הַדָּם,E00132,D00867
וּזְרָקוֹ,G00734
בְּעוֹלָה,P00772,P00756
הֲלָנָה,E00580
אֵיזוֹהִי
וְשֶׁנִּטְמֵאת,I00529
וְשֶׁיָּצָאת,J00515
וְשֶׁקִּבְּלוּ,S00059
מָה,M00341
שׁוֹאֲלֵנִי,U00030
חִזְקִיָּה,H00558
כְּחִזְקִיָּה
וּשְׁמַע,U01515,U01511
הַכּוֹשֶׁר,E00526
דִּזְרָקוּהוּ
וְקִבְּלוּהוּ,S00057
וּזְרָקוּהוּ,G00734
כִּיבּוּס,K00485,K00043
זוֹ,G00113
שִׁירַיִים,U00909,U01053,U01079,U01077
דְּשִׁירַיִים
לָקִישׁ,L00693,S01207
וְעוֹשֶׂה,P01466
זַרְקֵהּ,G00734
שֶׁמּוֹעֲלִין,M02125
לִשְׁקִיעַת,U01864
שְׁהוּת,E00213
לְמִזְרַק,M00788
קוֹדֶם,S00247,S00246
שְׁקִיעַת,U01864
בְּשַׂר,B01370,U01906,B01371,B01369,B01372
אֱלִיעֶזֶר,A01873
חַיָּיבִין,H00651,H00722
מִשּׁוּם,U00437,U00435
וְנוֹתָר,N00424
עֲקִיבָא,P01173
חַטָּאתוֹ,H00613
כְּשֵׁם,U01405,U01408
חֲבֶרְתָּהּ,H00109
אֵימוּרַי,A01334,A02009
לַיּוֹצֵא,J00515
לִימְּדוּנִי,L00565
שֶׁבַּגּוֹלָה,C00385,C00884,C00885
מְחַשְּׁבִין,H01807
הַשָּׂרוּף,U01945
וְשָׂרוּף,U02007,U02005
בָּעוֹלָם,P00756
חִישֵּׁב,H01806,H01807
לַנִּשְׁפָּכִין,U01764
אָלָל,A01898
נִשְׁפָּכִין,U01764
הָעוֹמֵד,P00859,P00277
לִישָּׂרֵף,U02007,U02005,U02012
בִּשְׁתִיקָה,U02110
כְלוּם,K00703
זֶה,G00078
כְּשֶׁהָלַכְתִּי,E00566
פָּאנִי
מְצָאַנִי,M02262,R00010
וּכְשֶׁבָּאתִי,B00007
שֶׁבַּגָּלִיל,C00944
הֲלֹא,L00003
הַפָּסוּל,Q01240,Q01242,Q01241
וּכְשֶׁיָּצָאתִי,J00515
בִּשְׁתֵּיהֶן,U02107
בְּכוֹסוֹת,K00315,K00314
הֱשִׁיבוֹ,U00311
לְאוֹתוֹ,A00940
וְשָׁחַט,H00585
שְׁנֵיהֶן,U01556
